timestamp,series,observed,expected_median,z_score,flag_type,flag_label,is_holiday,low_confidence
2023-12-25 02:00:00+00:00,ListA_field1,0.0,9e-05,-6.5563,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 02:00:00+00:00,ListA_field1,0.0,9e-05,-6.5563,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2023-12-25 19:00:00+00:00,ListA_field3,0.0,0.006567,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2024-01-01 01:00:00+00:00,ListA_field3,0.0,0.014885,-4.3101,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 02:00:00+00:00,ListA_field3,0.0,0.005803,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2024-01-01 03:00:00+00:00,ListA_field3,0.0,0.008419,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2024-01-01 07:00:00+00:00,ListA_field3,0.0,0.012228,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2024-01-01 10:00:00+00:00,ListA_field3,0.001759,0.014986,-3.3691,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 13:00:00+00:00,ListA_field3,0.0,0.01586,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2024-01-01 15:00:00+00:00,ListA_field3,0.0,0.010692,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2024-01-02 10:00:00+00:00,ListA_field3,0.001929,0.014986,-3.3258,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2024-01-03 10:00:00+00:00,ListA_field3,0.003182,0.014986,-3.0067,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2024-01-04 10:00:00+00:00,ListA_field3,0.003716,0.014986,-2.8707,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2024-01-05 10:00:00+00:00,ListA_field3,0.003443,0.014986,-2.9403,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2024-01-05 23:00:00+00:00,ListA_field3,0.0,0.007906,,contextual_zero,Zero during normally-active hour (potential list failure),False,False
2024-01-08 10:00:00+00:00,ListA_field3,0.004393,0.014986,-2.6982,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2023-12-25 17:00:00+00:00,ListB_field4,0.043702,0.103319,-2.9539,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 01:00:00+00:00,ListB_field4,0.050193,0.126016,-2.6802,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 02:00:00+00:00,ListB_field4,0.07489,0.147674,-3.6631,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 16:00:00+00:00,ListB_field4,0.074157,0.116808,-2.525,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 18:00:00+00:00,ListB_field4,0.032967,0.071415,-2.9564,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-02 01:00:00+00:00,ListB_field4,0.053441,0.126016,-2.5654,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2024-01-03 02:00:00+00:00,ListB_field4,0.090415,0.147674,-2.8817,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2023-12-22 00:00:00+00:00,ListC_field9,0.034964,0.090746,-2.9527,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2023-12-25 17:00:00+00:00,ListC_field9,0.025,0.04953,-2.883,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2023-12-26 16:00:00+00:00,ListC_field9,0.040262,0.06455,-2.5381,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2024-01-01 00:00:00+00:00,ListC_field9,0.032761,0.090746,-3.0693,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 02:00:00+00:00,ListC_field9,0.037313,0.064627,-2.7906,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 14:00:00+00:00,ListC_field9,0.02335,0.05024,-4.2535,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-02 00:00:00+00:00,ListC_field9,0.030656,0.090746,-3.1807,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2024-01-03 00:00:00+00:00,ListC_field9,0.031348,0.090746,-3.1441,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2024-01-03 02:00:00+00:00,ListC_field9,0.022494,0.064627,-4.3047,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2024-01-08 00:00:00+00:00,ListC_field9,0.023238,0.090746,-3.5734,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2023-12-25 17:00:00+00:00,ListD_field10,0.0,0.005276,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2023-12-25 18:00:00+00:00,ListD_field10,0.0,0.004183,-2.5306,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2023-12-25 20:00:00+00:00,ListD_field10,0.0,0.005077,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2023-12-25 21:00:00+00:00,ListD_field10,0.0,0.00447,-2.7233,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 00:00:00+00:00,ListD_field10,0.0,0.00405,-2.9823,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 01:00:00+00:00,ListD_field10,0.0,0.003147,-2.7234,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 04:00:00+00:00,ListD_field10,0.0,0.016,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2024-01-01 09:00:00+00:00,ListD_field10,0.0,0.002607,-2.5791,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 13:00:00+00:00,ListD_field10,0.0,0.002779,-3.7002,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 17:00:00+00:00,ListD_field10,0.0,0.005276,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2024-01-01 18:00:00+00:00,ListD_field10,0.0,0.004183,-2.5306,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 21:00:00+00:00,ListD_field10,0.0,0.00447,-2.7233,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-03 00:00:00+00:00,ListD_field10,0.0,0.00405,-2.9823,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2023-12-29 09:00:00+00:00,ListD_field11,0.014768,0.033155,-2.6085,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2023-12-29 12:00:00+00:00,ListD_field11,0.019207,0.034123,-2.8872,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2024-01-12 12:00:00+00:00,ListD_field11,0.017321,0.034123,-3.2521,drop_zscore,Robust z-score drop (statistically significant fall below baseline),False,False
2023-12-25 17:00:00+00:00,ListE_field13,0.0,0.002013,-3.7914,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2023-12-25 18:00:00+00:00,ListE_field13,0.0,0.001622,-3.2404,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2023-12-25 20:00:00+00:00,ListE_field13,0.0,0.002864,-2.6372,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 00:00:00+00:00,ListE_field13,0.0,0.01015,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2024-01-01 02:00:00+00:00,ListE_field13,0.0,0.006697,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
2024-01-01 07:00:00+00:00,ListE_field13,0.001005,0.00886,-2.653,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 17:00:00+00:00,ListE_field13,0.0,0.002013,-3.7914,drop_zscore,Robust z-score drop (statistically significant fall below baseline),True,False
2024-01-01 01:00:00+00:00,ListE_field14,0.0,0.011626,,contextual_zero_holiday,"Zero on known holiday — likely volume-driven, not list failure",True,False
